Title,Units sold,Initial release date,Platform,Firm,Genre,Developer,Publisher(s),Image
Mortal Kombat,6.5,1993,Multi-platform,Multi,Fighting,Midway Games,Acclaim Entertainment,https://upload.wikimedia.org/wikipedia/en/3/33/Mortal_Kombat_cover.JPG
NBA Jam,6,1994,Multi-platform,Multi,Fighting,Midway Games,Acclaim Entertainment,https://upload.wikimedia.org/wikipedia/en/a/a0/Nbajam.jpg
Tomb Raider III,5.9,1998,Multi-platform,Multi,Action-adventure,Core Design,Eidos Interactive,https://upload.wikimedia.org/wikipedia/en/c/c8/Tomb_Raider_III.png
Resident Evil 2,5.77,1998,PlayStation,Sony,Survival horror,Capcom,"Capcom, Virgin Interactive",https://upload.wikimedia.org/wikipedia/en/4/40/NTSC_Resident_Evil_2_Cover.png
Tekken 2,5.7,1996,PlayStation,Sony,Fighting,Namco,"Namco, Sony Computer Entertainment",https://upload.wikimedia.org/wikipedia/en/0/06/Tekken2Box.jpg
Crash Bandicoot: Warped,5.7,1998,PlayStation,Sony,Platformer,Naughty Dog,Sony Computer Entertainment,https://upload.wikimedia.org/wikipedia/en/3/3e/Crash_Bandicoot_3_Warped_Original_Box_Art.jpg
Super Smash Bros.,5.55,1999,Nintendo 64,Nintendo,Fighting,HAL Laboratory,Nintendo,https://upload.wikimedia.org/wikipedia/en/4/42/Supersmashbox.jpg
Pokémon Stadium,5.46,1999,Nintendo 64,Nintendo,Strategy,"Nintendo EAD, HAL Laboratory",Nintendo,https://upload.wikimedia.org/wikipedia/en/7/70/Pokemonstadiumbox.jpg
Pokémon Pinball,5.31,1999,Game Boy Color,Nintendo,Pinball,"Jupiter, HAL Laboratory",Nintendo,https://images.nintendolife.com/1271718d3bafe/pokemon-pinball-ruby-and-sapphire-cover.cover_large.jpg
Donkey Kong 64,5.27,1999,Nintendo 64,Nintendo,"Platformer, adventure",Rare,Nintendo,https://upload.wikimedia.org/wikipedia/en/a/ae/DonkeyKong64CoverArt.jpg
Wario Land: Super Mario Land 3,5.19,1994,Game Boy,Nintendo,Platformer,Nintendo R&D1,Nintendo,https://m.media-amazon.com/images/I/61Idfz1641L._AC_SX466_.jpg
Crash Bandicoot 2: Cortex Strikes Back,5.17,1997,PlayStation,Sony,Platformer,Naughty Dog,Sony Computer Entertainment,https://upload.wikimedia.org/wikipedia/en/e/e6/Crash_Bandicoot_2_Cortex_Strikes_Back_Game_Cover.jpg
Donkey Kong Country 2: Diddy's Kong Quest,5.15,1995,SNES,Nintendo,Platformer,Rare,Nintendo,https://upload.wikimedia.org/wikipedia/en/c/c3/DK_Country_2.jpg
Kirby's Dream Land,5.13,1992,Game Boy,Nintendo,"Action, platformer",HAL Laboratory,Nintendo,https://upload.wikimedia.org/wikipedia/en/8/83/Kdl1ussmall.jpg
Resident Evil,5.08,1996,PlayStation,Sony,Survival horror,Capcom,"Capcom, Virgin Interactive",https://upload.wikimedia.org/wikipedia/en/a/a6/Resident_Evil_1_cover.png
Super Mario Bros. Deluxe,5.07,1999,Game Boy Color,Nintendo,Platformer,Nintendo EAD,Nintendo,https://mario.wiki.gallery/images/thumb/c/c9/SMB_Deluxe_cover_art.png/1200px-SMB_Deluxe_cover_art.png
